Country,Years,Homicide,Burglary,Rape,Theft,Education,GDP,Unemployment,Migration
Tajikistan,2009,0.16155546744299637,0.27467896825126037,-0.1,0.4622349561296857,-0.1,0.5462385036242854,0.7169925001442312,-0.1
Thailand,2009,0.41761482512662323,-0.1,0.4335192224919382,0.51993236172751,-0.1,0.7006169411667019,0,-0.1
"The former Yugoslav Republic of Macedonia",2009,0.16155546744299637,0.8356379227115769,0.15442266280111014,0.6628868576379394,-0.1,0.7070103777863352,1,-0.1
Timor-Leste,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.6787678925908801,-0.1,-0.1
TimorLeste,2009,0.25605935768362686,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Togo,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.5229290299105293,-0.1,-0.1
Tonga,2009,0.4846664023289891,-0.1,-0.1,-0.1,-0.1,0.6759686439258508,-0.1,-0.1
"Trinidad and Tobago",2009,0.84783138254134,0.8028119412555335,0.6559762780120569,0.6855734519595232,-0.1,0.8040147609128877,0.4643856189774725,-0.1
Tunisia,2009,0.16155546744299637,-0.1,-0.1,-0.1,-0.1,0.6985897329440731,0.7400879436282184,-0.1
Turkey,2009,0.3751201787385539,0.6312871431686297,-0.1,0.6378845142299335,-0.1,0.7603660680660086,0.7400879436282184,-0.1
Turkmenistan,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.6971554369130897,-0.1,-0.1
"Turks and Caicos Islands",2009,0.45354353671141284,-0.1,-0.1,-0.1,-0.1,0.8435714278491241,-0.1,-0.1
